Applicant_ID,Age,Education_Level,Employment_Duration_Years,Annual_Income,Owns_Home,Savings_Balance,Checking_Balance,Existing_Loans_Count,Credit_Card_Utilization,Loan_Amount,Loan_Duration_Months,Debt_to_Income_Ratio,Payment_History_Delay,Credit_Score,Credit_Status
ID_1044,35,Master,1.1,47579.47,0,8373.95,5343.09,0,0.245,54133.1,36,0.398,0,606,0
ID_1045,21,Bachelor,2.8,35737.82,0,10055.22,0.0,0,0.698,28586.55,60,0.168,3,405,0
ID_1046,30,Bachelor,7.0,31492.86,0,8611.74,3071.57,1,0.123,7050.68,60,0.047,1,608,0
ID_1047,33,High School,4.6,30705.63,0,4715.7,2178.78,0,0.231,11073.63,60,0.076,0,637,0
ID_1048,51,High School,5.8,66344.76,0,15646.81,4626.97,1,0.25,19777.21,60,0.063,1,627,1
ID_1049,43,Bachelor,1.7,41779.57,0,3003.03,0.0,1,0.145,28802.82,36,0.241,0,611,1
ID_1050,18,Bachelor,0.0,15000.0,0,5119.71,1783.32,1,0.469,49821.4,36,1.162,2,329,0
ID_1051,42,Bachelor,0.2,67672.09,0,15207.41,1605.07,1,0.461,22471.37,36,0.116,1,559,0
ID_1052,34,Bachelor,8.5,53149.79,0,15786.66,6577.14,0,0.418,55229.55,12,1.091,0,524,0
ID_1053,30,High School,12.0,106227.31,0,25659.21,10537.0,0,0.535,56819.77,60,0.112,0,646,1
ID_1054,46,Bachelor,2.6,65287.85,1,13015.52,6834.21,2,0.274,32749.86,12,0.527,0,619,1
ID_1055,51,High School,0.1,25865.45,0,9392.71,2797.63,1,0.106,36339.4,24,0.738,2,488,0
ID_1056,50,Bachelor,0.9,17768.13,1,3970.27,1719.9,1,0.644,16731.79,12,0.989,1,443,0
ID_1057,28,Bachelor,5.3,37807.54,1,0.0,2371.85,0,0.705,55249.67,12,1.534,2,312,0
ID_1058,35,Bachelor,4.7,39634.15,0,9976.42,2202.42,0,0.146,13530.41,12,0.358,1,585,1
ID_1059,42,PhD,7.8,86818.9,0,6097.72,5962.62,3,0.089,46635.45,36,0.188,1,595,0
ID_1060,50,High School,1.5,53936.6,0,5458.65,2046.82,2,0.259,6415.79,60,0.025,0,630,1
ID_1061,33,Bachelor,7.2,95496.44,0,10390.55,6166.49,0,0.317,36522.7,48,0.1,1,611,1
ID_1062,36,High School,5.8,27933.54,0,0.0,1719.65,1,0.432,45058.81,36,0.565,4,335,0
ID_1063,25,Bachelor,1.9,87783.79,0,9331.92,6026.66,1,0.371,41351.57,48,0.124,3,470,0
ID_1064,24,Master,3.9,77690.99,1,7912.35,5370.95,0,0.544,16593.96,36,0.075,0,634,1
ID_1065,48,Bachelor,0.8,19749.49,1,0.0,2003.68,1,0.601,20147.45,60,0.214,5,340,0
ID_1066,55,Master,3.0,104957.3,0,3278.07,0.0,1,0.282,52687.18,36,0.176,1,584,0
ID_1067,38,High School,10.7,56768.07,0,7335.38,3325.59,3,0.268,15895.44,12,0.294,0,596,0
ID_1068,51,Master,2.7,65908.47,1,15602.2,4584.96,2,0.182,16510.92,48,0.066,1,649,1
ID_1069,43,High School,9.1,35156.05,1,10682.99,0.0,2,0.144,52080.81,60,0.311,1,608,1
ID_1070,31,Master,4.5,102500.56,0,25535.24,6336.34,1,0.171,23872.07,24,0.122,0,664,1
ID_1071,43,High School,1.1,29943.69,0,7387.88,4013.65,0,0.539,24006.8,36,0.281,1,532,0
ID_1072,57,High School,4.4,82128.96,0,16645.58,3886.87,0,0.38,58097.48,36,0.248,4,472,0
ID_1073,38,Bachelor,3.5,81658.71,0,7143.46,8107.06,1,0.193,13384.68,36,0.057,0,657,1
ID_1074,57,Master,2.5,33286.8,1,0.0,2893.74,2,0.435,11834.46,60,0.075,2,524,0
ID_1075,18,High School,0.0,146047.44,0,0.0,3457.29,2,0.175,28226.09,36,0.068,0,587,0
ID_1076,48,Bachelor,2.7,60825.49,0,13445.59,4989.72,1,0.185,25583.39,36,0.147,1,613,0
ID_1077,40,Master,0.4,75127.83,1,0.0,7276.66,0,0.31,10989.12,24,0.077,2,562,1
ID_1078,35,Bachelor,0.5,25246.42,0,4669.43,3581.07,0,0.1,39508.55,60,0.329,0,618,0
ID_1079,40,High School,2.7,156195.7,0,9872.35,15666.05,1,0.594,25275.04,36,0.057,0,614,0
ID_1080,18,Bachelor,0.0,29369.78,0,7346.57,3748.48,0,0.057,26168.47,36,0.312,2,522,0
ID_1081,36,Bachelor,13.0,90440.12,1,0.0,2375.51,2,0.302,24926.69,36,0.096,2,555,1
ID_1082,43,Master,2.4,32945.64,0,9581.27,2249.2,0,0.42,6171.02,24,0.098,4,441,0
ID_1083,56,Bachelor,7.1,39755.58,0,10846.74,4021.04,4,0.344,10291.95,36,0.091,4,427,0
ID_1084,32,Bachelor,3.8,80368.45,0,8863.15,2599.53,0,0.066,1000.0,36,0.004,0,687,1
ID_1085,29,PhD,6.1,90560.77,1,0.0,6806.36,0,0.353,45500.78,24,0.264,1,582,0
ID_1086,32,Bachelor,1.5,28691.55,0,4449.34,3332.81,1,0.193,25030.74,24,0.458,3,438,0
ID_1087,49,High School,14.2,93455.07,0,6602.23,7553.2,2,0.216,42905.91,60,0.096,2,584,0
ID_1088,42,High School,3.8,91353.35,1,0.0,5082.54,0,0.444,16895.81,36,0.065,1,600,1
ID_1089,32,Bachelor,8.9,33895.02,0,6601.87,2327.39,2,0.095,45666.17,36,0.472,2,504,0
ID_1090,45,High School,2.3,120490.21,0,31626.15,2774.78,0,0.224,1000.0,36,0.003,0,697,1
ID_1091,40,Master,0.5,26149.13,1,6477.51,3762.08,2,0.354,42496.95,60,0.341,0,594,0
ID_1092,50,Bachelor,5.6,39640.78,0,9959.14,4747.83,0,0.28,23595.79,24,0.313,2,549,0
ID_1093,30,High School,0.0,68837.32,1,2828.8,5165.15,1,0.217,1000.0,36,0.005,2,571,0
ID_1094,35,Bachelor,3.2,35355.77,1,6764.35,1226.98,0,0.17,1000.0,36,0.01,0,691,1
ID_1095,34,Bachelor,1.1,61815.51,0,10835.34,5039.83,0,0.136,34030.7,60,0.116,0,661,1
ID_1096,21,Master,3.0,61116.55,1,5856.12,4229.06,0,0.312,42814.3,36,0.245,2,545,0
ID_1097,42,Master,19.4,49338.64,0,0.0,2523.41,0,0.583,26115.42,24,0.278,3,456,0
ID_1098,42,Bachelor,3.1,82141.63,0,19175.15,9317.65,1,0.258,35856.22,24,0.229,1,598,0
ID_1099,39,Bachelor,8.5,48330.57,0,8213.8,5632.76,1,0.331,33035.17,12,0.718,2,473,0
ID_1100,36,Bachelor,3.5,60825.87,0,14114.01,4930.48,0,0.059,25999.1,48,0.112,0,684,1
ID_1101,22,Bachelor,3.4,96108.78,0,0.0,6187.16,4,0.004,42266.28,36,0.154,1,537,0
ID_1102,33,High School,13.3,80446.13,1,0.0,8377.55,3,0.114,1000.0,12,0.013,0,670,1
ID_1103,34,High School,11.0,80258.56,0,3865.98,6365.21,2,0.373,26772.15,12,0.35,0,585,0
ID_1104,29,Bachelor,7.7,30497.81,1,4943.64,3539.02,1,0.148,37289.75,60,0.257,1,608,1
ID_1105,37,High School,1.8,70431.53,0,14320.83,5159.27,0,0.153,16971.23,60,0.051,0,677,1
ID_1106,43,High School,3.9,34917.75,0,6499.23,2562.86,0,0.129,29604.13,36,0.297,1,597,1
ID_1107,61,Bachelor,1.3,28546.58,0,5828.42,1991.43,0,0.41,3813.1,36,0.047,3,505,0
ID_1108,41,High School,2.9,52268.38,1,7701.0,1934.84,1,0.325,26360.21,36,0.177,2,557,0
ID_1109,42,Bachelor,3.3,34470.27,1,7606.42,1523.83,1,0.402,12022.43,36,0.122,2,548,0
ID_1110,38,Bachelor,8.9,80443.38,0,20461.06,6713.53,1,0.661,15690.87,36,0.068,0,610,1
ID_1111,18,PhD,0.0,81411.17,0,23722.1,3004.16,1,0.274,35291.55,36,0.152,2,520,0
ID_1112,38,Bachelor,2.7,20924.73,0,9351.73,1728.84,0,0.474,1000.0,24,0.025,1,565,0
ID_1113,39,High School,0.1,35805.21,0,0.0,0.0,1,0.401,5365.65,12,0.157,1,509,0
ID_1114,68,Bachelor,9.9,26110.86,1,6783.78,0.0,0,0.398,38047.1,24,0.765,3,479,0
ID_1115,36,Master,1.0,42988.39,1,7488.94,1784.67,1,0.275,22176.96,12,0.542,4,417,0
ID_1116,42,PhD,4.9,68022.09,0,5449.22,3895.3,0,0.827,11776.13,36,0.061,1,530,0
ID_1117,38,Bachelor,0.1,47995.18,0,6792.65,2468.14,0,0.469,33108.79,36,0.241,0,586,0
ID_1118,24,High School,2.6,40340.87,1,0.0,2420.65,2,0.415,5067.87,24,0.066,0,581,0
ID_1119,52,Master,21.3,103786.2,1,23574.33,9103.58,0,0.226,4487.03,36,0.015,0,787,1
ID_1120,48,High School,0.5,17112.62,1,3366.92,3042.39,1,0.3,21256.1,36,0.435,3,468,0
ID_1121,48,Bachelor,2.8,100552.57,1,0.0,7656.8,2,0.538,22507.95,24,0.118,4,423,0
ID_1122,28,Bachelor,1.8,41268.54,0,2605.5,4806.32,0,0.348,11631.02,24,0.148,1,554,0
ID_1123,55,High School,11.8,52101.32,0,6370.58,5161.26,0,0.37,20251.18,36,0.136,0,667,0
ID_1124,22,High School,4.0,41619.26,0,9054.3,2333.56,0,0.29,48997.78,24,0.618,1,515,0
ID_1125,46,High School,1.4,117177.37,0,15130.68,13365.5,0,0.378,24348.75,36,0.073,1,618,0
ID_1126,65,Bachelor,0.4,29275.63,1,11683.07,2616.5,0,0.281,4298.04,24,0.077,2,613,0
ID_1127,27,Master,4.9,54495.22,0,2007.98,4185.42,1,0.475,25438.32,60,0.098,1,533,0
ID_1128,32,High School,2.1,70524.77,0,14215.53,5174.64,0,0.338,1000.0,12,0.015,3,513,0
ID_1129,40,Master,5.6,24209.46,0,5120.06,3001.7,1,0.237,54016.06,36,0.781,6,300,0
ID_1130,32,High School,0.2,34202.39,0,11981.54,3864.84,0,0.483,3640.97,48,0.028,1,562,0
ID_1131,20,Bachelor,0.7,50307.56,0,11844.73,2428.21,2,0.243,28715.31,48,0.15,0,588,0
ID_1132,39,High School,5.8,34775.47,0,0.0,2423.29,1,0.364,27919.01,24,0.421,2,460,0
ID_1133,26,Master,1.2,36033.49,1,0.0,1224.69,0,0.266,10946.83,24,0.159,2,527,0
ID_1134,44,Bachelor,9.7,45481.85,0,6763.55,2587.01,2,0.169,48389.17,36,0.372,1,571,1
ID_1135,27,Bachelor,0.3,74966.05,0,4391.83,6914.83,0,0.282,62037.14,36,0.29,0,602,1
ID_1136,57,Master,1.2,45644.62,0,8065.78,1541.44,0,0.177,11534.33,48,0.066,2,586,1
ID_1137,29,Bachelor,11.0,92893.88,0,6780.72,0.0,0,0.432,37802.09,36,0.142,1,576,0
ID_1138,35,PhD,2.8,32896.49,0,5905.98,2596.23,1,0.141,7222.78,48,0.058,0,639,0
ID_1139,48,Bachelor,6.1,28970.66,0,10199.28,2390.11,0,0.324,48784.77,36,0.589,3,457,0
ID_1140,24,Master,1.0,141941.84,0,29271.22,6812.15,0,0.359,47766.82,36,0.118,0,640,1
ID_1141,41,Bachelor,4.7,38988.46,0,0.0,1813.98,1,0.564,43169.25,36,0.388,2,434,1
ID_1142,54,High School,6.5,28128.65,0,0.0,0.0,4,0.152,1000.0,48,0.009,0,595,0
ID_1143,19,Bachelor,1.0,22673.97,0,3863.91,1678.61,1,0.044,15233.73,24,0.353,1,539,0
ID_1144,41,High School,8.8,92739.68,1,0.0,5424.1,0,0.448,15486.64,24,0.088,0,654,0
ID_1145,42,Bachelor,4.6,45676.89,0,4340.05,1919.02,3,0.427,14273.96,60,0.066,1,533,0
ID_1146,48,Bachelor,2.5,47721.87,0,8165.67,3380.47,0,0.076,48913.76,48,0.269,3,528,0
ID_1147,24,Bachelor,4.1,50031.05,0,10722.61,1797.62,0,0.352,1000.0,48,0.005,1,585,0
ID_1148,23,High School,4.3,89901.64,1,0.0,8181.48,2,0.056,32015.08,12,0.374,2,527,0
ID_1149,45,High School,0.9,49525.11,0,5849.98,5227.23,1,0.458,38395.49,36,0.271,1,537,0
ID_1150,42,Bachelor,2.6,174910.01,1,19732.44,10673.51,0,0.262,12357.01,36,0.025,1,682,1
ID_1151,42,PhD,2.1,57923.61,0,0.0,5832.24,1,0.576,34087.98,48,0.154,2,465,0
ID_1152,43,Bachelor,2.6,92124.15,1,0.0,2690.72,2,0.27,32950.14,36,0.125,0,629,0
ID_1153,30,Bachelor,7.2,81033.66,0,9450.82,5210.11,0,0.061,20108.95,36,0.087,1,643,0
ID_1154,41,Bachelor,3.3,53198.01,1,9243.25,5724.65,0,0.334,44562.19,24,0.44,1,593,1
ID_1155,42,Bachelor,14.1,40397.15,1,0.0,0.0,0,0.021,15223.65,60,0.079,1,666,1
ID_1156,30,High School,1.7,63958.0,0,15795.88,3290.06,1,0.214,44605.76,60,0.146,0,630,1
ID_1157,61,Bachelor,2.7,69915.97,1,10091.89,5935.96,1,0.374,27373.48,36,0.137,0,681,1
ID_1158,44,High School,7.7,40688.75,0,10695.37,2987.41,0,0.07,19390.5,36,0.167,0,685,1
ID_1159,24,PhD,3.9,58874.86,0,5048.41,3756.73,1,0.326,20971.0,36,0.125,0,600,0
ID_1160,46,High School,4.0,100519.04,0,23661.37,6424.26,1,0.181,1000.0,24,0.005,0,692,0
ID_1161,27,Bachelor,0.3,152508.23,1,0.0,0.0,0,0.528,18482.24,36,0.042,3,469,0
ID_1162,48,High School,2.5,83048.88,0,6330.04,1957.43,1,0.448,4801.36,24,0.03,0,623,1
ID_1163,52,High School,1.6,137500.09,1,8156.89,2650.13,1,0.141,29765.63,36,0.076,0,712,1
ID_1164,29,Bachelor,11.0,39549.68,0,0.0,0.0,0,0.137,41209.42,36,0.365,2,510,0
ID_1165,50,High School,1.8,76952.31,0,14472.79,2308.21,2,0.346,33225.67,36,0.151,1,574,0
ID_1166,43,High School,10.8,105795.13,1,29482.94,10149.2,0,0.5,12165.07,24,0.06,0,707,1
ID_1167,48,Bachelor,5.6,34607.76,0,9479.75,3873.96,0,0.718,20223.72,48,0.153,3,452,0
ID_1168,61,High School,2.1,42497.69,1,0.0,0.0,1,0.263,29980.1,12,0.741,3,438,0
ID_1169,36,High School,3.9,129178.75,0,21449.51,11396.41,1,0.17,30930.61,36,0.084,0,677,1
ID_1170,29,Master,9.2,33271.3,0,5890.59,2013.53,4,0.205,54468.44,60,0.344,1,513,0
ID_1171,28,Bachelor,10.0,27706.85,0,6658.44,1406.03,0,0.167,36220.17,48,0.343,0,623,1
ID_1172,29,Master,0.9,116307.26,0,22950.16,7477.93,0,0.149,27664.67,60,0.05,1,635,0
ID_1173,38,Master,2.1,98556.14,0,14767.42,0.0,1,0.391,26875.82,24,0.143,3,475,0
ID_1174,43,Bachelor,2.0,67242.46,0,15028.73,2790.6,2,0.302,18736.35,48,0.073,2,536,0
ID_1175,42,High School,0.2,52952.19,0,0.0,3164.12,0,0.264,25002.85,36,0.165,2,517,0
ID_1176,48,Bachelor,4.6,43509.64,0,2293.04,790.58,1,0.213,37907.35,36,0.305,1,563,0
ID_1177,39,Master,9.6,62378.41,0,0.0,2550.44,0,0.488,12277.68,36,0.069,1,561,0
ID_1178,56,Bachelor,2.4,119360.48,0,24337.42,4866.07,0,0.061,32386.63,24,0.142,0,717,1
ID_1179,35,Bachelor,6.7,61039.9,1,15329.89,4402.87,0,0.233,23040.58,36,0.132,2,608,0
ID_1180,71,High School,4.9,160088.11,1,0.0,4455.23,3,0.302,55920.1,36,0.122,1,615,0
ID_1181,46,Master,2.4,34579.94,1,9236.82,466.44,0,0.505,30314.91,24,0.46,1,554,1
ID_1182,28,Bachelor,0.8,53645.86,0,5610.25,3668.25,0,0.126,30898.87,36,0.202,1,588,0
ID_1183,26,PhD,6.2,44957.4,1,9371.89,5521.21,0,0.219,9589.11,24,0.112,0,682,1
ID_1184,44,High School,9.6,31490.12,0,0.0,2581.99,2,0.188,51357.64,36,0.571,2,468,0
ID_1185,36,High School,5.8,50184.33,0,14549.85,2353.73,1,0.284,34125.5,12,0.714,3,428,0
ID_1186,47,High School,0.1,66747.0,0,10047.46,4915.82,3,0.274,49556.57,36,0.26,1,546,0
ID_1187,44,Bachelor,1.2,70411.73,0,11845.51,5504.44,0,0.428,21687.82,12,0.323,4,428,0
ID_1188,38,High School,0.4,160367.94,1,11009.82,8327.84,0,0.31,24970.47,24,0.082,0,693,1
ID_1189,28,High School,4.2,68338.85,0,12814.71,1584.91,0,0.268,1000.0,24,0.008,0,653,0
ID_1190,20,PhD,2.0,96285.06,0,24898.99,3232.32,1,0.248,58206.51,48,0.159,0,623,0
ID_1191,33,High School,0.6,55996.65,0,7598.59,0.0,0,0.207,31649.14,36,0.198,2,531,0
ID_1192,49,Master,9.1,125370.4,0,30008.7,7006.06,1,0.585,58402.82,36,0.163,1,590,1
ID_1193,41,Bachelor,4.1,179732.45,1,43680.43,1633.95,0,0.466,18713.91,24,0.055,0,696,1
ID_1194,24,Master,5.9,70653.47,0,6093.81,3975.76,1,0.248,33493.25,36,0.166,1,572,0
ID_1195,41,Bachelor,17.8,32980.46,1,11077.24,2793.69,0,0.281,42869.79,24,0.682,2,556,1
ID_1196,43,Master,0.4,41175.45,0,5441.3,2030.35,1,0.058,30936.77,60,0.158,1,599,0
ID_1197,28,Master,10.0,62377.95,0,0.0,5479.71,1,0.278,19010.06,36,0.107,0,609,0
ID_1198,40,High School,0.7,68067.08,0,13548.0,2943.77,0,0.13,16456.59,60,0.051,0,677,0
ID_1199,39,High School,2.5,76819.41,1,17684.32,8731.13,2,0.167,18753.91,24,0.128,0,681,1
ID_1200,25,High School,7.0,68193.11,0,11257.56,7091.86,1,0.069,73067.22,36,0.375,0,633,1
ID_1201,43,Bachelor,11.8,54365.9,0,1190.94,0.0,0,0.091,13813.07,36,0.089,3,538,1
ID_1202,45,Master,3.5,39414.96,0,12656.92,4998.97,1,0.348,1000.0,48,0.007,2,553,0
ID_1203,51,Bachelor,4.5,66208.83,0,16192.82,3237.51,0,0.066,25670.27,36,0.136,0,701,1
ID_1204,51,Bachelor,6.2,136966.78,1,13802.05,10915.54,1,0.419,25443.7,12,0.195,1,635,0
ID_1205,22,High School,4.0,90216.2,0,15228.68,4134.8,0,0.209,19332.68,24,0.113,0,651,0
ID_1206,27,Master,0.6,70781.43,0,1386.96,7154.73,0,0.254,13826.19,24,0.103,0,618,1
ID_1207,45,PhD,8.3,90652.02,1,10498.31,5127.46,2,0.489,20070.34,36,0.077,1,609,0
ID_1208,45,High School,3.3,45002.26,0,0.0,3413.03,0,0.387,1245.64,12,0.029,0,614,0
ID_1209,45,Bachelor,3.0,42018.59,0,10306.14,5892.11,0,0.134,57013.12,12,1.425,1,473,0
ID_1210,75,High School,2.8,37276.09,1,0.0,2151.13,1,0.073,29410.22,36,0.276,0,682,0
ID_1211,45,Bachelor,3.6,50886.69,1,12891.11,0.0,1,0.078,27121.85,48,0.14,1,649,0
ID_1212,52,Bachelor,14.5,43870.49,0,7607.05,4545.03,0,0.404,43919.87,24,0.526,0,618,0
ID_1213,50,High School,4.0,99125.04,1,0.0,4749.68,1,0.273,73778.37,36,0.261,0,643,1
ID_1214,46,Bachelor,15.3,42716.4,1,0.0,3251.34,0,0.206,17767.94,48,0.109,0,697,1
ID_1215,35,High School,1.0,36266.12,1,4156.72,2069.47,1,0.374,30520.56,36,0.295,2,513,0
ID_1216,48,Bachelor,6.4,143098.52,1,12177.22,14465.91,1,0.218,39434.87,36,0.096,1,675,1
ID_1217,29,Bachelor,8.4,43230.97,0,10866.25,5230.92,2,0.141,37439.15,36,0.303,0,616,0
ID_1218,36,High School,5.7,58498.96,0,0.0,5195.0,0,0.211,41286.0,36,0.247,1,570,0
ID_1219,33,Bachelor,4.7,67891.18,0,4770.57,5907.35,2,0.128,41517.13,36,0.214,1,576,0
ID_1220,39,Bachelor,4.2,30688.81,0,2668.91,2125.69,1,0.221,17598.52,36,0.201,1,564,1
ID_1221,66,Bachelor,9.9,100482.8,1,17335.4,5898.81,2,0.309,46513.63,36,0.162,1,663,1
ID_1222,18,High School,0.0,74500.38,1,7875.03,3901.92,2,0.381,22982.97,48,0.081,1,564,0
ID_1223,47,Bachelor,0.7,118088.78,0,20655.14,7464.08,1,0.239,30052.97,60,0.053,0,672,1
ID_1224,19,PhD,1.0,38576.13,0,8835.87,921.09,0,0.331,36066.17,60,0.196,0,588,0
ID_1225,33,High School,2.7,56929.16,1,14051.62,3334.42,1,0.103,12199.12,60,0.045,0,697,0
ID_1226,52,High School,1.5,55253.0,0,17254.81,3856.87,0,0.131,32807.08,60,0.125,1,641,0
ID_1227,39,High School,10.2,61817.65,0,11281.11,1806.13,0,0.035,36168.11,24,0.307,0,677,1
ID_1228,26,Bachelor,2.8,26178.47,0,7844.26,835.27,2,0.243,1000.0,60,0.008,0,601,0
ID_1229,30,High School,8.3,57263.47,1,12565.39,1009.14,0,0.077,50229.77,24,0.461,1,625,0
ID_1230,47,Bachelor,1.5,26549.55,0,7393.44,0.0,0,0.243,10259.51,60,0.081,1,594,1
ID_1231,30,Bachelor,0.0,64806.88,0,6538.63,4280.24,1,0.403,29914.08,36,0.162,0,587,0
ID_1232,41,Bachelor,3.4,18688.72,0,6786.6,907.21,2,0.471,52522.16,60,0.59,3,376,0
ID_1233,39,Bachelor,0.5,21465.59,0,6102.3,2625.33,2,0.11,36769.95,60,0.36,3,453,0
ID_1234,31,Bachelor,7.0,81574.69,1,13118.24,3501.01,1,0.349,43727.0,60,0.113,2,575,0
ID_1235,64,Bachelor,1.6,41215.96,0,6302.75,3742.07,0,0.285,44982.77,60,0.229,3,514,0
ID_1236,46,High School,2.9,33059.72,0,10516.89,3209.06,1,0.204,16141.42,24,0.256,2,537,0
ID_1237,18,High School,0.0,102275.23,0,18606.85,6726.19,1,0.246,6334.86,60,0.013,0,635,0
ID_1238,41,Master,1.7,63819.44,0,6759.25,4162.26,0,0.417,32473.6,24,0.267,3,470,0
ID_1239,31,High School,7.6,83788.0,0,21172.85,0.0,2,0.459,37828.9,36,0.158,1,546,0
ID_1240,49,Bachelor,0.8,49855.24,1,0.0,2026.32,0,0.766,44865.44,36,0.315,3,420,0
ID_1241,29,Master,5.2,206863.48,1,0.0,0.0,0,0.43,39054.79,36,0.066,2,545,0
ID_1242,37,High School,12.5,40044.36,0,8665.51,1779.55,0,0.289,16149.48,48,0.106,0,658,1
ID_1243,45,Bachelor,5.7,129605.15,1,0.0,11822.76,2,0.366,40834.82,36,0.11,2,550,0
ID_1244,49,Bachelor,8.3,52539.31,1,0.0,0.0,0,0.269,1000.0,36,0.007,0,679,1
